"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Cicero, Marcus Tullius";"De oratore (Comm: Omnibonus Leonicenus). Add: Topica; Partitiones oratoriae; Brutus; De optimo genere oratorum. Omnibonus Leonicenus: Oratio de laudibus eloquentiae. Q. Tullius Cicero: Commentariolum petitionis. Aeschines: In Ctesiphontem; Epistola XII [Latin]. Tr: Leonardus Brunus Aretinus. Demosthenes: De corona [Latin]. Tr: Leonardus Brunus Aretinus. Ed: Hieronymus Squarzaficus";"commentary; collection";"rhetoric"
"Cicero, Marcus Tullius";"Epistolae ad Brutum, ad Quintum fratrem, ad Atticum. (Ed: Bartholomaeus Salicetus and Ludovicus Regius. With additions by Pomponius Laetus)";"philosophy; letter collections; philosophy-political";"rhetoric"
"Cicero, Marcus Tullius";"Epistolae ad familiares (Comm: Hubertinus clericus and Martinus Phileticus). Add: Georgius Merula: In epistulam ad Lentulum Spintherem (Fam. I 7). Angelus Politianus: In nonnulla epistolarum loca interpretatio (Misc. I 25, 27, 28, 34, 87)";"philosophy-political; letter collections; commentary; philosophy; collection";"rhetoric"
"Cicero, Marcus Tullius";"Epistolae ad familiares. Comm: Hubertinus clericus and Martinus Phileticus. Add: Georgius Merula: In epistulam ad Lentulum Spintherem (Fam. I 7); Angelus Politianus: In nonnulla epistolarum loca interpretatio (Misc. I 25, 27, 28, 34, 87)";"collection; philosophy; commentary; letter collections; philosophy-political";"rhetoric"
"Cicero, Marcus Tullius";"Orationes Philippicae . Comm: Franciscus Mataratius. Corr: Johannes Maria Aureolus";"philosophy-political; commentary; current affairs";"rhetoric"
"Cicero, Marcus Tullius";"Synonyma. Add: De differentiis. Bartholomaeus Fatius: Synonyma et differentiae";"collection";"rhetoric"
"Cicero, Marcus Tullius";"Tusculanae disputationes";;"philosophy-ethics"
"Columna, Franciscus";"Hypnerotomachia Poliphili. Add: Leonardus Crassus, Johannes Baptista Scytha and Andreas Maro";;"literature"
"Cornelius Nepos";"Vitae imperatorum, sive De vita illustrium virorum";"biography";"History"
"Cornelius Nepos";"Vitae imperatorum, sive De vita illustrium virorum";"biography";"History"
"Crastonus, Johannes";"Lexicon Graeco-latinum. Add: Pseudo- Cyrillus [Johannes Philoponus]: Collectio vocum quae variato accentu mutant significationem. Ammonius: De differentia adfinium vocabulorum. Vetus instructio praefectorum militum. With other grammatical tracts, and verses by Scipio Fortiguerra and Marcus Musurus [Greek and Latin]";"translation; collection; dictionary";"grammar"
"Curtius Rufus, Quintus";"Historiae Alexandri Magni";"biography";"History"
"Curtius Rufus, Quintus";"Historiae Alexandri Magni. Ed: Bartholomaeus Merula";"biography";"History"
"Dante Alighieri";"La Commedia . Comm: Jacopo della Lana. Ed: Christofal Berardi. Add: Jacopo della Lana: Credo; Bosone de Gubbio: Sopra la Commedia; Jacopo Alighieri: Sopra la Commedia; Pseudo- Dante Alighieri: Il Credo; Prelim: Giovanni Boccacio: Vita di Dante";"poetry; commentary; collection";"Literature"
"Diodorus Siculus";"Bibliothecae historicae libri VI.Tr: Poggius Florentinus. Add: Tacitus: Germania";"Encyclopaedia; collection; translation";"History"
"Dionysius Halicarnaseus";"Antiquitates Romanae. Tr: Lampugninus Biragus";"translation";"History"
"Dionysius Periegetes";"De situ orbis. Tr: Antonius Beccaria";"education; history; translation; poetry";"geography"
"Dioscorides";"De materia medica [Greek]. Add: Pseudo- Dioscorides: De venenis, De venenatis animalibus [Greek]; Nicander: Theriaca; Alexipharmaca; Scholia [Greek]";"plants; minerals; philosophy-natural; animals; pharmacopoeia; collection; poisons; education; recipes";"medicine"
"Duns Scotus, Johannes";"Quaestiones in quattuor libros Sententiarum Petri Lombardi. Ed: Thomas Penketh and Bartholomaeus Bellatus";"commentary; education; collection";"Theology-speculative"
"Duns Scotus, Johannes";"Quaestiones in quattuor libros Sententiarum Petri Lombardi. Ed: Thomas Penketh and Bartholomaeus Bellatus";"collection; education; commentary";"Theology-speculative"
"Duns Scotus, Johannes";"Quodlibeta. Ed: Thomas Penketh";"education";"Theology-speculative"
"Díaz de Montalvo, Alonso";"Repertorium quaestionum super Nicolaum de Tudeschis. Ed: Ludovicus de Campis";"commentary";"Law-canon"
"Eusebius Caesariensis";"Historia ecclesiastica. Tr: Rufinus Aquileiensis. Add: Beda: Historia ecclesiastica gentis Anglorum";"collection; translation";"ecclesiastical history"
"Falcutius, Nicolaus";"Sermones medicinales septem. Con: I) De conservatione sanitatis; II) De febribus; III) De membris capitis; IV) De membris spiritualibus; V) De membris naturalibus; VI) De membris generationis; VII) De cirurgia et de decoratione. Add: Utiliora quaedam remedia";"anatomy; surgery; philosophy-natural; education; reproduction; regimen sanitatis";"medicine"
"Ficinus, Marsilius";"De vita libri tres (De triplici vita); Apologia; Quod necessaria sit ad vitam securitas. Add: Poem by Amerigus Corsinus";"poetry; literature-moral; collection";"Philosophy-natural"
"Ficinus, Marsilius";"Platonica theologia de immortalitate animorum";"Philosophy; commentary";"Theology-speculative"
"Firmicus Maternus, Julius";"Mathesis (De nativitatibus libri VIII). Ed: Franciscus Niger. Add: Marcus Manilius: Astronomicorum libri V. Aratus: Phaenomena [Latin and Greek]. Tr & adapt: Germanicus Caesar, Marcus Tullius Cicero, Rufius Festus Avienus. Theon: Commentaria in Aratum [Greek]. Pseudo- Proclus Diadochus [i.e. Geminos]: Sphaera [Greek and Latin]. Tr: Thomas Linacrus";"translation; commentary; collection; poetry; conception; birth";"astrology"
"Gaza, Theodorus";"Grammatica introductiva [Greek]. Add: Gaza: De mensibus [Greek]; Apollonius Dyscolus: De constructione [Greek]; Herodianus: De numeris [Greek]";"Greek; Education; Collection";"Grammar"
"Gellius, Aulus";"Noctes Atticae";"encyclopedia; anthology; classical studies";"literature"
"Herolt, Johannes";"Sermones Discipuli de tempore et de sanctis cum promptuario exemplorum et miraculis Beatae Mariae Virginis";;"theology-pastoral"
"Hieronymus";"Vitae sanctorum patrum, sive Vitas patrum";"ecclesiastical history";"hagiography"
"Hippocrates";"De natura hominis. Add: De victu; De tuenda valetudine; Medicinae lex; Iusiurandum; Demonstratio quod artes sunt; Invectiva in obtrectatores medicinae. Tr: Andreas Brentius";"education; regimen sanitatis; polemical works; translation";"medicine"
"Holkot, Robertus";"Quaestiones super quattuor libros Sententiarum Petri Lombardi (Ed: Augustinus de Ratisbona and Jodocus Badius Ascensius). Add: Quaestio de imputabilitate peccati; Conferentiae quaedam; Determinationes quarumdam aliarum quaestionum";"commentary; education";"theology-speculative"
"Holkot, Robertus";"Super sapientiam Salomonis";"commentary; education";"theology-biblical"
"Homerus";"Opera [Greek]. Ed: Demetrius Chalcondylas";"greek; poetry";"literature"
"Homerus";"Opera [Greek]. Ed: Demetrius Chalcondylas";"greek; poetry";"literature"
"Horatius Flaccus, Quintus";"Opera. Comm: Antonius Mancinellus; (Pseudo-) Acron; Pomponius Porphyrio; Christophorus Landinus. Ed: Antonius Mancinellus";"commentary";"literature"
"Horatius Flaccus, Quintus";"Opera. Comm: Nicolaus Perottus. Ed: Jacobus Locher";"commentary";"literature"
"Horatius Flaccus, Quintus";"Opera. Ed. and comm: Christophorus Landinus";;"literature"
"Hyginus, Gaius Julius";"Poetica astronomica. Ed: Jacobus Sentinus and Johannes Lucilius Santritter";"poetry";"Astronomy"
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)";"Summarium bullae Innocentii VIII et Alexandri VI de successione regni Angliae";"collection; current affairs; local";"Law-canon"
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)";"Summarium bullae Innocentii VIII et Alexandri VI de successione regni Angliae";"current affairs; local; collection";"Law-canon"
"Isidorus Hispalensis";"Etymologiae. Add: De summo bono";"Encyclopaedia; collection; philosophy; dictionary";"history"
"Jacobus de Forlivio";"Super tres libros Tegni Galeni";"education; commentary";"Medicine"
"Jamblichus";"De mysteriis Aegyptiorum, Chaldaeorum, Assyriorum. Tr: Marsilius Ficinus. Add: Proclus: In Platonicum Alcibiadem; De sacrificio et magia; Porphyrius: De divinis et daemonibus; Synesius: De Somniis; Psellus: De daemonibus; Priscianus et Marsilius Ficinus: In Theophrastum De sensu ... ; Alcinous: De doctrina Platonis; Speusippus: De Platonis definitionibus; Pythagoras: Aurea verba et symbola; Xenocrates: De morte; Marsilius Ficinus: De Voluptate";"translation; collection; classical; education";"Philosophy"
"Johannes Chrysostomus";"Homiliae super Johannem. Tr: Franciscus Griffolinus (Aretinus)";"Theology-biblical; translation";"Theology-pastoral"
"Johannes Chrysostomus";"Sermones de patientia in Job. Ed. and tr: Lilius Tifernas (Castellanus). Add: De poenitentia";"translation; Theology-biblical; collection";"Theology-pastoral"
"Johannes de Gaddesden";"Rosa anglica practica medicinae. Ed: Nicolaus Scyllacius";"pathologies; anatomy";"Medicine"
"Juvenalis, Decimus Junius";"Satyrae (Comm: Domitius Calderinus). Add: Domitius Calderinus: Defensio adversus Brotheum";"poetry; collection; commentary";"literature"
"Juvenalis, Decimus Junius";"Satyrae. Add: Persius Flaccus: Satyrae";"collection; poetry";"literature"
"Juvenalis, Decimus Junius";"Satyrae. Comm: Antonius Mancinellus; Jodocus Badius Ascensius";"collection; commentary; poetry";"literature"
"Juvenalis, Decimus Junius";"Satyrae. Comm: Domitius Calderinus. Add: Domitius Calderinus: Defensio adversus Brotheum";"collection; commentary; poetry";"literature"
"Lactantius, Lucius Coelius Firmianus";"Opera. Ed: Johannes Andreas, bishop of Aleria. Add: S. Venantius Honorius Clementianus Fortunatus: De Resurrectione Christi carmen";"poetry; collection";"Literature"
"Lascaris, Constantinus";"Erotemata [Greek] With the Latin translation of Johannes Crastonus Placentinus. Add: Alphabetum graecum cum multiplicibus litteris. Oratio dominica. Ave Maria. Symbolum Apostolum. Evangelium Johannis [fragment]. Pythagoras, Aurea verba. Pseudo- Phocylides, Sententiae sive Moralia [all Greek and Latin]";"education; collection; translation; Literature-devotional; Greek";"Grammar"
"Latino, Brunetto";"Le Trésor [Italian] Il tesoro";"poetry; Literature-moral; encyclopaedia";"Literature"
"Lefèvre, Raoul";"L'histoire de Jason: Fais et prouesses du chevalier Jason";"Chivalry";"Literature"
"Livius, Titus";"Historiae Romanae decades. Ed: Marcus Antonius Sabellicus";;"history"
"Lucanus, Marcus Annaeus";"Pharsalia";"poetry; literature";"history"
"Lucanus, Marcus Annaeus";"Pharsalia. Comm: Omnibonus Leonicenus";"literature; commentary; poetry";"history"
"Lucianus Samosatensis";"Charon de greco in latinum translatus. Tr: Rinucius Aretinus. Ed: Paulus Niavis";"translation";"literature"
"Lucianus Samosatensis";"Dialogi. Epistolae [Greek]";"letter collection; greek";"literature"
"Lucretius Carus, Titus";"De rerum natura. Ed: Hieronymus Avantius";"poetry";"philosophy-natural"
"Ludolphus de Saxonia";"Vita Christi";"theology-pastoral";"hagiography"
"Macer Floridus";"De viribus herbarum carmen";"herbals; plants; poetry";"medicine"
"Macrobius, Aurelius Theodosius";"In Somnium Scipionis expositio. Saturnalia";"commentary; philosophy; religion";"literature"
"Macrobius, Aurelius Theodosius";"In Somnium Scipionis expositio. Saturnalia";"philosophy; religion; commentary";"literature"
"Maiolus, Laurentius";"Epiphyllides in dialecticis. Add: De conversione propositionum secundum peripateticos. Averroes: Quaestio in librum Analyticorum priorum Aristotelis (Tr: Helias Cretensis Hebraeus)";"education; medicine; collection; translation";"philosophy-logic"
"Martialis, Marcus Valerius";"Epigrammata. Comm: Domitius Calderinus";"commentary; poetry";"literature"
"Martialis, Marcus Valerius";"Epigrammata. Comm: Domitius Calderinus and Georgius Merula";"commentary; poetry";"literature"
"Mela, Pomponius";"Cosmographia, sive De situ orbis";;"geography"
"Mela, Pomponius";"Cosmographia, sive De situ orbis. Add: Dionysius Periegetes: De situ orbis. Tr: Priscianus";"collection";"geography"
"Mesue, Johannes";"[Opera medicinalia :] Canones universales. De Simplicibus. Grabadin. Practica de medicinis particularium aegritudinum. Add: Franciscus Pedemontanus: Complementum; Nicolaus Salernitanus: Antidotarium, Quid pro quo, Synonyma; Abulcasis: Liber servitoris de praeparatione medicinarum simplicium. Tr: Simon a Cordo and Abraham Judaeus Tortuosiensis";"education; pathologies; collection; translation; pharmacopeia";"medicine"
"Musaeus";"Opusculum de Herone et Leandro [Greek]. With Latin version of Marcus Musurus";"Greek; translation; poetry";"Literature"
"Nicolaus de Ausmo";"Supplementum Summae Pisanellae. Add: Alexander de Nevo: Consilia contra Judaeos foenerantes; Astesanus de Ast: Canones poenitentiales";"collection; polemical works; hebraica; theology-moral";"theology-pastoral"
"Nicolaus de Lyra";"Postilla super Actus Apostolorum, Epistolas Canonicales et Apocalypsim";;"theology-biblical"
"Nicolaus de Lyra";"Postilla super totam Bibliam";;"theology-biblical"
"Nicolaus de Lyra";"Postilla super totam Bibliam. Ed: Johannes Andreas, bishop of Aleria";;"theology-biblical"
"Nonius Marcellus";"De proprietate latini sermonis. Add: Sextus Pompeius Festus: De verborum significatione. Marcus Terentius Varro: De lingua latina. Ed: Pomponius Laetus and Franciscus Rolandellus";"collection; education";"grammar"
"Ockam, Guilielmus";"Decisiones VIII quaestionum super potestate summi Pontificis. Ed: Johannes Trechsel";"theology-ecclesiology";"philosophy-political"
"Ockam, Guilielmus";"Dialogorum libri septem adversos haereticos; Compendium errorum, sive tractatus de dogmatibus Johannis papae XXII. Ed: Jodocus Badius Ascensius";"philosophy-political; collection";"theology-ecclesiology"
"Ockam, Guilielmus";"Opus nonaginta dierum et dialogi. Ed: Augustinus de Ratisbona, Jodocus Badius Ascensius. Add: Michael de Cesena: Litterae";"theology-ecclesiology; letter collection; collection";"philosophy-political"
"Ockam, Guilielmus";"Quaestiones et decisiones in quattuor libros Sententiarum Petri Lombardi. Centilogium theologicum. Ed: Augustinus de Ratisbona, Jodocus Badius Ascensius";"education; collection; commentary";"theology-speculative"
"Ockam, Guilielmus";"Quaestiones et decisiones in quattuor libros Sententiarum Petri Lombardi. Centilogium theologicum. Ed: Augustinus de Ratisbona, Jodocus Badius Ascensius";"education; commentary; collection";"theology-speculative"
"Origenes";"Contra Celsum et in fidei Christianae defensionem libri. Tr: Christophorus Persona";"translation; polemical works";"Theology-speculative"
"Orosius, Paulus";"Historiae adversus paganos. Ed: Aeneas Vulpes";"polemical works";"ecclesiastical history"
"Ovidius Naso, Publius";"Epistolae Heroides (Comm: Antonius Volscus et Hubertinus Clericus) et Sappho et Ibis (Comm: Domitius Calderinus)";"Poetry; Commentary; Collection";"Literature"
"Ovidius Naso, Publius";"Fasti. (Comm: Paulus Marsus)";"Poetry; commentary";"Literature"
"Ovidius Naso, Publius";"Fasti. (Comm: Paulus Marsus)";"commentary; Poetry";"Literature"
"Ovidius Naso, Publius";"Metamorphoses. Comm: Raphael Regius";"Poetry; Commentary";"Literature"
"Panormitanus de Tudeschis, Nicolaus";"Lectura super V libris Decretalium";"commentary; education";"law-canon"
"Papias";"Vocabularium. Prelim: Boninus Mombritius: Epistola lectori";"dictionary";"grammar"
"Perottus, Nicolaus";"Cornucopiae linguae latinae (Ed: Aldus Manutius). Add: Commentariolus in prohemium Historiae naturalis Plinii. Cornelius Vitellius: Epistola Parthenio Benacensi";"Classical studies; Education; Philology";"Grammar"
"Persius Flaccus, Aulus";"Satyrae (Comm: Johannes Britannicus and Bartholomaeus Fontius)";"Poetry; Commentary";"Literature"
"Persius Flaccus, Aulus";"Satyrae. Comm: Joannes Britannicus and Jodocus Badius Ascensius";"Poetry; Commentary";"Literature"
"Petrarca, Francesco";"De vita solitaria. Add: Lombardus de Serico: De dispositione vitae suae ad gubernatorem patriae. Ed: Franciscus Caymus";"Philosophy; Collection";"Literature-moral"
"Petrarca, Francesco";"Trionfi";"Poetry";"Literature"
"Petrus Lombardus";"Sententiarum libri IV. Comm: Henricus de Gorichem. Add: Articuli in Anglia et Parisiis condemnati";"Education; Collection; Commentary; Bible";"Theology"
"Philelphus, Franciscus";"Epistolae";"Letter Collection";"Literature"
"Pius II, Pont. Max. (formerly Aeneas Sylvius Piccolomini)";"De duobus amantibus Euryalo et Lucretia. Add: De remedio amoris; Epistola retractatoria ad quendam Karolum";"Collection";"Literature"
"Pius II, Pont. Max. (formerly Aeneas Sylvius Piccolomini)";"Epistolae familiares. De Duobus amantibus Euryalo et Lucretia. Descriptio urbis Viennensis. Ed: Nicolaus de Wyle";"Letter collection; collection; rhetoric";"Literature-moral"
"Plautus, Titus Maccius";"Comoediae. Ed & Comm: Joannes Baptista Pius";"poetry; theatre";"Literature"
"Plutarchus";"Apophthegmata. Tr: Franciscus Philelphus";"aphorisms; translation; history";"Literature-moral"
"Politianus, Angelus";"Opera. Ed: Alexander Sartius. Add: Herodianus: Historia de Imperio post Marcum; Epictetus: Enchiridion; Alexander Aphrodisaeus: Problemata; Plutarchus: Narrationes amatoriae; Athanasius: Stilus et character psalmorum. All trad: Angelus Politianus";"collection; history; poetry";"Literature"
"Priscianus";"Opera. Ed: Benedictus Brognolus. Add: (Pseudo-) Priscianus: De accentibus; (Pseudo-) Hermogenes: De praeexercitamentis rhetorices; Rufinus Antiochensis: De metris comicis; De litteraturis; De compositione et metris oratorum; Dionysius Periegetes: De situ orbis. Tr: Priscianus Caesariensis";"collection; Education";"Grammar"
"Quintilianus, Marcus Fabius";"Institutiones oratoriae. Comm: Laurentius Valla, Pomponius Laetus, and Johannes Sulpitius Verulanus";"Classical studies; Anthology; commentary; Education";"Rhetoric"
"Quintilianus, Marcus Fabius";"Institutiones oratoriae. Comm: Raphael Regius";"commentary; Education; Anthology; Classical studies";"Rhetoric"
