"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Tibullus, Albius";"Elegiae (Comm: Bernardinus Cyllenius Veronensis). Add: Catullus: Carmina (Comm: Antonius Parthenius). Propertius: Elegiae (Comm: Philippus Beroaldus)";"poetry; collection; commentary";"literature"
"Tortellius, Johannes";"Orthographia (Ed: Hieronymus Bononius)";"education";"grammar"
"Urbanus (Bolzanius) Bellunensis";"Institutiones graecae grammaticae";"greek; education";"grammar"
"Valerius Flaccus, Gaius";"Argonautica";"poetry";"literature"
"Valerius Maximus, Gaius";"Facta et dicta memorabilia. Comm: Oliverius Arzignanensis";"literature; commentary";"history"
"Valerius Maximus, Gaius";"Facta et dicta memorabilia. Ed: Bonus Accursius";"literature";"history"
"Vergilius Maro, Publius";"Opera [Bucolica and Georgica, with argumenta (comm. Servius and Badius); Aeneis, with argumenta (comm. Servius, revised by Philippus Beroaldus, and Badius)]. Add: Maphaeus Vegius: Liber XIII Aeneidos (comm. Badius). Ed: Iodocus Badius Ascensius. Additional texts";"collection; commentary; poetry";"literature"
"Vergilius Maro, Publius";"Opera [Bucolica and Georgica, with argumenta (comm. Servius and Landinus); Aeneis, with argumenta (comm. Servius, Donatus and Landinus)]. Add: Maphaeus Vegius: Liber XIII Aeneidos. Additional texts";"commentary; poetry; collection";"literature"
;"Anthologia Graeca Planudea [Greek]. Ed: Janus Lascaris";"classical studies; anthology";"literature"
;"Biblia [Italian] (Tr: Niccolò Malermi). Add: Aristeas: Ad Philocratem de lxx interpretibus (Tr: Bartolomeo Pontio). Leggenda di San Joseph";"translation";"bible"
;"Biblia latina";"translation";"bible"
;"Biblia latina";"translation";"bible"
;"Biblia latina, 42 lines";"translation";"bible"
;"Epistolae diversorum philosophorum, oratorum, rhetorum [Greek]. Ed: Marcus Musurus";"philosophy; rhetoric; letter collections";"literature"
;"Epistolae diversorum philosophorum, oratorum, rhetorum [Greek]. Ed: Marcus Musurus";"letter collections; philosophy; rhetoric";"literature"
;"Formularium procuratorum et advocatorum Curiae Romanae";"administration-church; notary";"Law-practical"
;"Gesta Romanorum";"literature-moral; classical studies";"history"
;"Horae: ad usum Sarum (Salisbury)";"literature-devotional; education; religion";"liturgy"
;"Horae: ad usum Sarum (Salisbury)";"education; literature-devotional; religion";"liturgy"
;"Iyov (...) Divre hayamim. Comm: Levi ben Gershom, Solomon ben Isaac, Joseph ben Simeon Kara, Pseudo- Solomon ben Isaac)";"commentary";"bible"
;"Mishle. Comm: Immanuel ben Solomon of Rome)";"commentary";"bible"
;"Parvula";"education";"grammar"
;"Psalterium [Greek]. Ed: Justinus Decadyus";"bible";"liturgy"
;"Tehillim. Comm: David Kimhi";"liturgy; commentary";"bible"
;"The historye of Reynart the foxe [English] (Tr: William Caxton)";"animals; poetry; translation";"Literature"
;"Thesaurus Cornu copiae et Horti Adonidis [Greek and Latin]. Ed: Aldus Manutius and Urbanus Bolzanius Bellunensis";"education; classical studies; dictionary; Greek";"Grammar"


