"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Bonaventura, S";"Meditationes vitae Christi [English] The myrroure of the blessyd lyf of Jhesu Cryste. Tr: Nicholas Love. Add: A short treatise of the sacrament of Christ's blessed body. A short devote prayer of Jesus Christ";"collection; translation";"literature-devotional"
"Bonaventura, S";"Meditationes vitae Christi [English] The myrroure of the blessyd lyf of Jhesu Cryste. Tr: Nicholas Love. Add: A short treatise of the sacrament of Christ's blessed body. A short devote prayer of Jesus Christ";"collection; translation";"literature-devotional"
"Bonaventura, S";"Meditationes vitae Christi [English] The myrroure of the blessyd lyf of Jhesu Cryste. Tr: Nicholas Love. Add: A short treatise of the sacrament of Christ's blessed body. A short devote prayer of Jesus Christ";"translation; collection";"literature-devotional"
"Bradwardinus, Thomas";"Geometria speculativa. Ed: Petrus Sanchez Cirvelus";"education; philosophy";"Geometry"
"Breydenbach, Bernhard von";"Peregrinatio in terram sanctam";"travel";"Literature-devotional"
"Breydenbach, Bernhard von";"Peregrinatio in terram sanctam";"travel";"Literature-devotional"
"Burlaeus, Gualtherus";"De vita et moribus philosophorum (incomplete edition)";"biography; education";"philosophy"
"Butrio, Antonius de";"Speculum de confessione. Add: Speculum animae peccatricis. Ars moriendi ""Cum de praesentis exilii miseria mortis transitus"". Hugo de Sancto Caro: Speculum ecclesiae et sacerdotum. Rodericus Zamorensis: Speculum vitae humanae. Dionysius Carthusiensis: Speculum conversionis peccatorum";;"theology-pastoral"
"Capreolus, Johannes";"Quaestiones in IV libros Sententiarum Petri Lombardi, seu libri IV defensionum theologiae Thomae Aquinatis. Ed: Thomas de S. Germano";"polemical works";"theology-speculative"
"Caracciolus, Robertus";"Sermones de adventu, Sermo de S. Joseph, Sermo de Beatitudine, Sermones de divina caritate, Sermones de immortalitate animae. Add: Dominicus Bollanus: De conceptione B.V.M.";;"theology-moral"
"Caracciolus, Robertus";"Sermones de laudibus sanctorum. Add: Sermo de S. Bernardino";;"theology-moral"
"Caracciolus, Robertus";"Sermones de laudibus sanctorum. Corr: Gasparino Borro";;"theology-moral"
"Caracciolus, Robertus";"Sermones quadragesimales de poenitentia";;"theology-moral"
"Caracciolus, Robertus";"Sermones quadragesimales de poenitentia";;"theology-moral"
"Carcano, Michael de";"Sermonarium de peccatis per adventum et per duas quadragesimas";;"theology-pastoral"
"Cassianus, Johannes";"De institutis coenobiorum. Add: Collationes patrum XXIV";;"theology-ecclesiology?"
"Cato, Dionysius";"Disticha de moribus [English and Latin] Tr: from the French by William Caxton. With a paraphrase and commentary";"education; translation; poetry";"literature-moral"
"Cato, Dionysius";"Disticha de moribus. Comm: Philippus de Bergamo, Robertus de Euremodio";"poetry; commentary; education";"literature-moral"
"Cicero, Marcus Tullius";"De officiis. Add: Paradoxa Stoicorum. Hexasticha XII sapientum de titulo Ciceronis. Horatius Flaccus: Ad T. Manlium Torquatum (Carm. IV 7)";"collection";"philosophy-ethics"
"Cicero, Marcus Tullius";"Epistolae ad familiares";"philosophy; letter collections; philosophy-political";"rhetoric"
"Cinus de Pistorio";"De successionibus ab intestato";;"Law-civil"
"Columna, Franciscus";"Hypnerotomachia Poliphili. Add: Leonardus Crassus, Johannes Baptista Scytha and Andreas Maro";;"literature"
"Consobrinus, Johannes";"De justitia commutativa. Ed: Jacobus Lupius";"law?; literature-social; Economics";"philosophy-ethics"
"Cyprianus";"De dominica oratione";;"theology-pastoral"
"Cyprianus";"Opera";;"theology-pastoral"
"Cyprianus";"Opera";;"theology-pastoral"
"Cyprianus";"Opera. Ed: Johannes Andreas, bishop of Aleria, and Christoforus de Priolis";;"theology-pastoral"
"Cyrillus, Pseudo-";"Speculum sapientiae";;"theology-speculative"
"Diodorus Siculus";"Bibliothecae historicae libri VI. Tr: Poggius Florentinus. Add: Tacitus: Germania";"Encyclopaedia; collection; translation";"History"
"Diogenes Laertius";"Vitae et sententiae philosophorum .Tr: Ambrosius Traversarius. Ed: Benedictus Brognolus";"rhetoric; Biography; literature-moral; translation";"Philosophy"
"Diomedes";"Ars grammatica. Add: Phocas: De nomine et verbo; Priscianus: Institutio de nomine, pronomine, et verbo; Flavius Caper, Pseudo- : De orthographia et latinitate verborum;  Agroecius: De orthographia et proprietate et differentia sermonis;  Aelius Donatus: [Ars Maior P.2-3] De octo partibus orationis. De barbarismo; Maurus Servius Honoratus: Commentarius in artem Donati";"Education; collection";"Grammar"
"Donatus, Aelius";"Ars minor";"education";"Grammar"
"Dozoli, Laurentius, and Buyer, Jacques";"De Corporis Christi sive repetitio capituli ""Quum Marthae"" (Decretal. III, 41,6)";"Education";"Theology-speculative"
"Duns Scotus, Johannes";"Quaestiones in quattuor libros Sententiarum Petri Lombardi cum textu. Ed: Gratianus Brixiensis";"collection; education; commentary";"Theology-speculative"
"Duns Scotus, Johannes";"Quaestiones in quattuor libros Sententiarum Petri Lombardi. Ed: Philippus Bagnacavallus";"education; collection; commentary";"Theology-speculative"
"Duns Scotus, Johannes";"Quaestiones selectae abbreviatae et ordinatae per alphabetum super quattuor libris Sententiarum Petri Lombardi Quodlibetisque Metaphysicae et De Anima. Ed: Johannes de Colonia";"commentary; abridgment; education; collection";"Theology-speculative"
"Duns Scotus, Johannes";"Quaestiones super libros Metaphysicorum Aristotelis. De Primo principio. Theoremata. Ed: Mauritius de Portu. Add: Mauritius de Portu: Epitomata sive castigationes";"commentary; education; collection";"Philosophy"
"Duns Scotus, Johannes";"Quodlibeta. Ed: Philippus Bagnacavallus";"education";"Theology-speculative"
"Duranti, Guillelmus";"Rationale divinorum officiorum";"liturgy";"theology-speculative"
"Duranti, Guillelmus";"Rationale divinorum officiorum";"liturgy";"theology-speculative"
"Duranti, Guillelmus";"Speculum judiciale. Add: Johannes Andreae: Additiones ad Duranti Speculum judiciale; Baldus de Ubaldis: Additiones ad Duranti Speculum judiciale; Berengarius Fredoli: Inventarium Duranti Speculi judicialis. Ed: Franciscus Moneliensis";"commentary; collection; theology-speculative; education";"law-canon"
"Eschuid, Johannes";"Summa astrologiae judicialis";"prophetic works";"astrology"
"Eusebius Caesariensis";"Historia ecclesiastica. Tr: Rufinus Aquileiensis";"translation";"ecclesiastical history"
"Eusebius Caesariensis";"Historia ecclesiastica. Tr: Rufinus Aquileiensis. Add: Beda: Historia ecclesiastica gentis Anglorum";"translation; collection";"ecclesiastical history"
"Ferrerius, Vincentius, S";"Sermones de tempore et de sanctis";;"theology-pastoral"
"Gallus, Abbas Cisterciensis";"Malogranatum";"mystical works";"Theology-moral"
"Gerardus de Zutphania (1367-1398)";"De spiritualibus ascensionibus. Add: David de Augusta: De exterioris et interioris hominis compositione Lib. II, 1 (De quatuor in quibus incipientes deo servire debent esse cauti)";"collection; Mystical works";"Theology-pastoral"
"Gorris, Guillermus";"Scotus pauperum";"commentary; education; abridgement";"Theology"
"Gower, John";"Confessio amantis";"poetry";"Literature"
"Gratia Dei, Johannes Baptista";"De confutatione hebraicae sectae";"polemical works; hebraica";"Literature-social"
"Gregorius I, Pont. Max";"Moralia, sive Expositio in Job";"commentary";"theology-pastoral"
"Guido de Monte Rochen";"Manipulus curatorum";;"theology-pastoral"
"Guido de Monte Rochen";"Manipulus curatorum";;"theology-pastoral"
"Guilelmus de Gouda";"Expositio mysteriorum missae";;"Theology-pastoral?"
"Guilielmus Carthusiensis";"Sermones super orationem dominicam";;"Theology-pastoral"
"Guillaume de Digulleville";"Le pèlerinage de l'âme [English] The pylgremage of the sowle. Translated and emended by John Lydgate";"translation";"Literature-devotional"
"Guillermus";"Postilla super epistolas et evangelia";"Bible";"Theology-pastoral?"
"Guillermus";"Postilla super epistolas et evangelia";"Bible";"Theology-pastoral?"
"Guillermus";"Postilla super epistolas et evangelia";"Bible";"Theology-pastoral?"
"Guillermus Altissiodorensis";"Summa aurea in quattuor libros Sententiarum Petri Lombardi. Ed: Guilelmus de Quercu";"Education; commentary";"theology-speculative"
"Guillermus Alvernus, Episcopus Parisiensis";"De sacramentis. Add: Cur deus homo; De poenitentia";"collection";"theology-pastoral"
"Guillermus Alvernus, Episcopus Parisiensis";"De universo";;"theology-speculative"
"Guillermus Alvernus, Episcopus Parisiensis";"Opera. Ed: Petrus Danhauser. Add: Johann Rosenbach";"collection";"theology"
"Guillermus Baufet, Episcopus Parisiensis (d. 1319)";"Dialogus de septem sacramentis";;"theology-pastoral"
"Henricus de Herpf";"Speculum aureum decem praeceptorum Dei";;"theology-moral"
"Hieronymus";"Vitae sanctorum patrum, sive Vitas patrum [English] The lyff of the faders (Tr: William Caxton)";"ecclesiastical history; translation";"hagiography"
"Higden, Ranulphus";"Polycronicon. Tr: John Trevisa. With the continuation 1357-1460 by William Caxton";"religion; collection; translation";"history"
"Higden, Ranulphus";"Polycronicon. Tr: John Trevisa. With the continuation 1357-1460 by William Caxton";"collection; translation; religion";"history"
"Holkot, Robertus";"Quaestiones super quattuor libros Sententiarum Petri Lombardi (Ed: Augustinus de Ratisbona and Jodocus Badius Ascensius). Add: Quaestio de imputabilitate peccati; Conferentiae quaedam; Determinationes quarumdam aliarum quaestionum";"education; commentary";"theology-speculative"
"Holkot, Robertus";"Super sapientiam Salomonis";"commentary; education";"theology-biblical"
"Hollen, Gotschalcus";"Praeceptorium divinae legis";;"theology-pastoral"
"Horatius Flaccus, Quintus";"Opera. Comm: Nicolaus Perottus. Ed: Jacobus Locher";"commentary";"literature"
"Hugo de Sancto Victore";"De sacramentis Christianae fidei";;"Theology-speculative"
"Institoris, Henricus";"In errores Monarchiae Antonii de Rosellis";"polemical works; philosophy-political";"law-civil&amp;canon"
"Ivo, Episcopus Carnotensis";"Liber decretorum, sive Panormia. Ed: Sebastian Brant";"Theology-ecclesiology";"Law-canon"
"Jacobus de Reno";"Dialogus de sene et iuvene de amore disputantibus. Add: In laudem musicae artis";"collection";"Literature-moral"
"Jacobus de Theramo";"Consolatio peccatorum, seu Processus Belial";"literature-devotional; trial; Theology-moral";"Law-canon"
"Jacobus de Voragine";"Legenda aurea sanctorum, sive Lombardica historia";"literature devotional; liturgy";"hagiography"
"Jacobus de Voragine";"Legenda aurea sanctorum, sive Lombardica historia";"literature devotional; liturgy";"hagiography"
"Jacobus de Voragine";"Legenda aurea sanctorum, sive Lombardica historia";"liturgy; literature devotional";"hagiography"
"Jacobus de Voragine";"Sermones de tempore per totum annum";;"theology pastoral"
"Johannes de Bromyard";"Opus trivium. Ed: Simon Bertherius";;"theology-pastoral"
