"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
;"Biblia latina (cum glossa ordinaria Walafridi Strabonis aliorumque et interlineari Anselmi Laudunensis et cum postillis ac moralitatibus Nicolai de Lyra et expositionibus Guillelmi Britonis in omnes prologos S. Hieronymi et additionibus Pauli Burgensis replicisque Matthiae Doering). Ed: Sebastian Brant. Add: Nicolaus de Lyra: Contra perfidiam Judaeorum";"polemical works; translation; collection; hebraica; commentary; education";"bible"
;"Biblia latina (cum postillis Nicolai de Lyra et expositionibus Guillelmi Britonis in omnes prologos S. Hieronymi et additionibus Pauli Burgensis replicisque Matthiae Doering). Add: Nicolaus de Lyra: Contra perfidiam Judaeorum";"education; commentary; hebraica; translation; polemical works; collection";"bible"
;"Biblia latina (cum postillis Nicolai de Lyra et expositionibus Guillelmi Britonis in omnes prologos S. Hieronymi et additionibus Pauli Burgensis replicisque Matthiae Doering). Add: Nicolaus de Lyra: Contra perfidiam Judaeorum";"commentary; education; polemical works; collection; translation; hebraica";"bible"
;"Biblia latina, 42 lines";"translation";"bible"
;"Biblia latina. With additions by Menardus Monachus";"translation";"bible"
;"Biblia latina. With table of Gabriel Brunus";"translation; index";"bible"
;"Biblia latina. With table of Gabriel Brunus (revised)";"translation; index";"bible"
;"Biblia latina. With the Glossa Ordinaria of pseudo-Walafrid Strabo and interlinear glosses of Anselmus Laudunensis";"translation; commentary; education";"bible"
;"Breviarium Saresberiense (Salisbury)";"local";"liturgy"
;"Brocardica juris";"aphorisms; abridgment";"law-civil&amp;canon"
;"Chronicles of England [English]";"collection";"history"
;"Cordiale quattuor novissimorum";"bible";"Literature-devotional"
;"Corona B.M.V.";;"Literature-devotional"
;"Danse Macabre [French]. Add: Les Trois morts et les trois vifs. Ballade ""Las et pourquoi prends tu si grand plaisir...""";"popular?; collection; poetry";"Literature-moral"
;"Dits des philosophes [English] The dictes or sayengis of the philosophres. Translated from the French of Guillaume de Tignonville, by Anthony Wydeville (or Woodville), Earl Rivers";"translation; popular; philosophy";"Literature-moral"
;"Evagatorium Benemy. Con: Modus praedicandi. Epistola regulae et vitae christianae religionis explanativa. Michael de Hungaria: Sermones tredecim universales praedicabiles. Sermones de passione domini, de perfectione hominis, de fide et dilectione dei et proximi. Passio domini Jesu Christi secundum quattuor evangelia. Sermones de S. Anna. Sermo de rosario B.V. Mariae. Orationes devotissimae. Missale itinerantium. With supplement by Hermannus Buschius";"anthology";"theology-practical"
;"Expositio hymnorum secundum usum Sarum";"commentary; local";"liturgy"
;"Expositio hymnorum secundum usum Sarum [Expositio hymnorum in libro transmare impresso deficientium]";"local; commentary";"liturgy"
;"Expositio officii missae sacrique canonis";"commentary";"liturgy"
;"Flores legum secundum ordinem alphabeti";"education; index";"Law-civil"
;"Gesta Romanorum";"literature-moral; classical studies";"history"
;"Horae: ad usum Rothomagensem (Rouen) [Latin and French]";"literature-devotional; education; religion";"liturgy"
;"Horae: ad usum Sarum (Salisbury)";"religion; education; literature-devotional";"liturgy"
;"Horae: ad usum Sarum (Salisbury) [Latin and English]";"religion; education; literature-devotional";"liturgy"
;"Imitatio Christi. Add: Johannes Gerson: De meditatione cordis";"collection";"Literature-devotional"
;"Indulgentia [English]. General indulgence granted by William Waynflete (or Patten) of Winchester, Edward Scory of Chichester, James Goldwell of Norwich and John Morton of Ely";"local; theology-practical; grants &amp; licenses";"law-canon"
;"Le songe du vergier";"philosophy-political";"law-civil"
;"Manuale parochialium sacerdotum";;"theology-pastoral"
;"Meditationes de vita et beneficiis Jesu Christi, sive Gratiarum actiones";;"literature-devotional"
;"Mensa philosophica";"anthology";"literature-moral"
;"Missale Hildensemense (Hildesheim)";"religion";"liturgy"
;"Missale Saresberiense (Salisbury), sive Missale secundum Sarum";"religion";"liturgy"
;"Missale Saresberiense (Salisbury), sive Missale secundum Sarum";"religion";"liturgy"
;"Modus legendi abbreviaturas";"education; index";"Law-civil&amp;canon"
;"Morticellarium aureum";;"literature-moral"
;"Quattuor Sermones [English]";;"theology-pastoral"
;"Regulae monasticorum: Regulae SS. Benedicti, Basilii, Augustini, Francisci. Ed: Joannes Franciscus Brixianus";"administration church";"Law-canon"
;"Sermones ""Parati"" de tempore et de sanctis";;"theology-pastoral"
;"Sermones Sensati";;"theology-pastoral"
;"Sermones compositi super particulis antiphonae Salve regina";;"theology-pastoral"
;"Speculum exemplorum";;"theology-pastoral"
;"Speculum humanae salvationis";;"theology-pastoral"
;"Statutes and Ordenances of War made by Henry VII ... 17 October 1491";"law-statutes";"law-national"
;"Stella clericorum";"literature-moral";"theology-pastoral"
;"Synodalia";"local; administration-church";"law-canon"
;"The Chastysing of goddes Chyldern. Add: William Flete: De remediis contra temptationes [English]";"collection";"literature-moral"
;"Torah, Megillot, Haftarot, Megillat Antiochos. Comm: Solomon ben Isaac";"commentary; liturgy";"bible"
;"Von dem Ursprung und Anfang des heiligen Bergs zu Andechs";"local; literature-devotional";"History"


